url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_question_marks,num_equals,num_ampersands,num_percent,num_digits,num_letters,num_special_chars,has_https,has_http,has_at_symbol,has_ip_address,has_port,num_subdomains,has_cname,domain_age,num_suspicious_keywords,has_suspicious_keywords,is_shortened,tld_length,has_suspicious_tld,path_depth,has_executable,num_params,has_sensitive_params,url_entropy,domain_entropy,has_high_entropy,has_brand_name,has_homograph,has_ssl_indicator,has_redirect,digit_ratio,special_char_ratio,label
22,14,0,0,2,0,0,2,0,0,0,0,0,17,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.663532754804254,2.8423709931771093,0,1,0,0,0,0.0,0.22727272727272727,0
24,16,0,0,2,0,0,2,0,0,0,0,0,19,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.855388542207534,3.1556390622295662,0,1,0,0,0,0.0,0.20833333333333334,0
22,14,0,0,2,0,0,2,0,0,0,0,0,17,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.6978458230844122,2.8962915290459277,0,1,0,0,0,0.0,0.22727272727272727,0
25,17,0,0,2,0,0,2,0,0,0,0,0,20,5,1,1,0,0,0,0,1,10,0,0,1,3,0,0,0,0,0,3.673269689515108,3.1751231351134614,0,1,0,0,0,0.0,0.2,0
21,13,0,0,2,0,0,2,0,0,0,0,0,16,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.6537567082870006,3.0269868333592873,0,1,0,0,0,0.0,0.23809523809523808,0
18,10,0,0,1,0,0,2,0,0,0,0,0,14,4,1,1,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3.6835423624332306,3.321928094887362,0,0,0,0,0,0.0,0.2222222222222222,0
25,17,0,0,1,0,0,2,0,0,0,0,0,21,4,1,1,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4.023465189601646,3.6901165175936654,1,0,0,0,0,0.0,0.16,0
24,16,0,0,2,0,0,2,0,0,0,0,0,19,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.9701755214643453,3.327819531114783,0,1,0,0,0,0.0,0.20833333333333334,0
23,15,0,0,2,0,0,2,0,0,0,0,0,18,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.4970558484728045,2.9232314287976204,0,1,0,0,0,0.0,0.21739130434782608,0
22,14,0,0,2,0,0,2,0,0,0,0,0,17,5,1,1,0,0,0,0,1,10,0,0,1,3,0,0,0,0,0,3.7544418457133446,3.182005814760214,0,0,0,0,0,0.0,0.22727272727272727,0
25,17,0,0,2,0,0,2,0,0,0,0,0,20,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.813660689688185,3.2195282822995477,0,0,0,0,0,0.0,0.2,0
23,15,0,0,2,0,0,2,0,0,0,0,0,18,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.7622673906514947,3.1898980954642866,0,0,0,0,0,0.0,0.21739130434782608,0
23,15,0,0,2,0,0,2,0,0,0,0,0,18,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.9361804341297555,3.4565647621309536,0,1,0,0,0,0.0,0.21739130434782608,0
25,17,0,0,2,0,0,2,0,0,0,0,0,20,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.863465189601646,3.454822399946607,0,1,0,0,0,0.0,0.2,0
22,14,0,0,2,0,0,2,0,0,0,0,0,17,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.663532754804254,3.039148671903071,0,1,0,0,0,0.0,0.22727272727272727,0
20,12,0,0,2,0,0,2,0,0,0,0,0,15,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.7841837197791888,3.0220552088742,0,1,0,0,0,0.0,0.25,0
21,13,0,0,2,0,0,2,0,0,0,0,0,16,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.5585186130489057,2.8150724101159437,0,1,0,0,0,0.0,0.23809523809523808,0
20,12,0,0,2,0,0,2,0,0,0,0,0,15,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.7841837197791888,3.0220552088742,0,0,0,0,0,0.0,0.25,0
21,13,0,0,2,0,0,2,0,0,0,0,0,16,5,1,1,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,3.1728107335198645,2.5654483718208256,0,0,0,0,0,0.0,0.23809523809523808,0
23,15,0,0,2,0,0,2,0,0,0,0,0,18,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.6753108689123644,3.32323142879762,0,0,0,0,0,0.0,0.21739130434782608,0
29,21,0,0,2,0,0,2,0,0,0,0,0,24,5,1,1,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,4.1162646156680225,3.5585186130489057,1,1,0,0,0,0.0,0.1724137931034483,0
21,13,0,0,2,0,0,2,0,0,0,0,0,16,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.594465636961452,3.0269868333592873,0,1,0,0,0,0.0,0.23809523809523808,0
26,18,0,0,2,0,0,2,0,0,0,0,0,21,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.9312089489103226,3.3921472236645345,0,1,0,0,0,0.0,0.19230769230769232,0
24,16,0,0,2,0,0,2,0,0,0,0,0,19,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.855388542207534,3.327819531114783,0,1,0,0,0,0.0,0.20833333333333334,0
31,23,0,0,2,0,0,2,0,0,0,0,0,26,5,1,1,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,3.9779168746936358,3.5883543471732335,0,1,0,0,0,0.0,0.16129032258064516,0
24,16,0,0,2,0,0,2,0,0,0,0,0,19,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.886842188131012,3.327819531114783,0,0,0,0,0,0.0,0.20833333333333334,0
26,18,0,0,2,0,0,2,0,0,0,0,0,21,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.8731406795131327,3.4613201402110083,0,0,0,0,0,0.0,0.19230769230769232,0
22,14,0,0,2,0,0,2,0,0,0,0,0,17,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.879664004902593,3.3248629576173574,0,1,0,0,0,0.0,0.22727272727272727,0
19,11,0,0,2,0,0,2,0,0,0,0,0,14,5,1,1,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,3.471354487013929,2.663532754804255,0,0,0,0,0,0.0,0.2631578947368421,0
38,25,6,0,1,2,0,3,0,0,0,0,0,31,7,0,1,0,0,0,0,0,7,4,1,0,3,0,1,0,0,0,4.273728829005326,3.813660689688185,1,0,0,1,0,0.0,0.18421052631578946,1
39,25,7,0,1,2,0,3,0,0,0,0,0,32,7,0,1,0,0,0,0,0,7,4,1,0,3,0,1,0,0,0,4.23105823222728,3.813660689688185,1,1,0,1,0,0.0,0.1794871794871795,1
38,24,7,0,1,2,0,3,0,0,0,0,0,31,7,0,1,0,0,0,0,0,7,4,1,0,3,1,1,0,0,0,4.378991986900063,4.084962500721156,1,0,0,1,0,0.0,0.18421052631578946,1
32,13,12,0,3,0,0,4,0,0,0,0,10,14,8,0,1,0,1,0,2,0,10,2,1,0,3,0,2,0,0,0,4.101409765557392,2.565448371820826,1,0,0,0,0,0.3125,0.25,1
28,6,15,0,1,1,0,3,0,0,0,0,0,22,6,0,1,0,0,0,0,0,10,0,0,1,2,0,1,0,0,0,4.012188403968661,2.584962500721156,1,0,0,0,0,0.0,0.21428571428571427,1
38,23,8,0,1,2,0,3,0,0,0,0,0,31,7,0,1,0,0,0,0,0,7,4,1,0,3,0,1,0,0,0,4.253863368422076,3.969001629875993,1,0,0,1,0,0.0,0.18421052631578946,1
37,24,6,0,1,2,0,3,0,0,0,0,0,30,7,0,1,0,0,0,0,0,7,4,1,0,2,1,1,0,0,0,4.283381405994076,3.855388542207534,1,0,0,1,0,0.0,0.1891891891891892,1
38,24,7,0,1,2,0,3,0,0,0,0,0,31,7,0,1,0,0,0,0,0,7,4,1,0,2,1,1,0,0,0,4.366091329119192,3.9701755214643457,1,1,0,1,0,0.0,0.18421052631578946,1
35,23,5,0,1,2,0,3,0,0,0,0,0,28,7,0,1,0,0,0,0,0,7,3,1,0,2,1,1,0,0,0,4.057575159678482,3.7409532604048397,1,0,0,1,0,0.0,0.2,1
